month,town,distance_to_nearest_mrt,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease,latitude,longitude
2012-03,ANG MO KIO,0.6759182224243214,11 TO 15,67.0,New Generation,1978,370000.0,,1.36970563478325,103.843515981311
2012-03,ANG MO KIO,1.2021082217239862,01 TO 05,83.0,New Generation,1982,372000.0,,1.37531353711244,103.836245672487
2012-03,ANG MO KIO,0.751164358695997,06 TO 10,74.0,New Generation,1979,373000.0,,1.3649460137791,103.854043379775
2012-03,ANG MO KIO,0.31541900951687407,11 TO 15,67.0,New Generation,1979,377000.0,,1.37059756050933,103.852367040901
2012-03,ANG MO KIO,0.5550703907874367,06 TO 10,67.0,New Generation,1978,379000.0,,1.37004739686133,103.844594754874
2012-03,ANG MO KIO,0.6382594189259987,11 TO 15,74.0,New Generation,1979,380000.0,,1.36538422642267,103.852966961527
2012-03,ANG MO KIO,0.7266327571291866,11 TO 15,74.0,New Generation,1979,380000.0,,1.36534669720177,103.85415182597
2012-03,ANG MO KIO,1.2021082217239862,01 TO 05,83.0,New Generation,1982,380000.0,,1.37531353711244,103.836245672487
2012-03,ANG MO KIO,1.073357484453818,01 TO 05,82.0,New Generation,1981,380000.0,,1.37619319942083,103.837038191014
2012-03,ANG MO KIO,0.8402615676755725,11 TO 15,74.0,New Generation,1979,385000.0,,1.36495953274783,103.855197097728
2012-03,ANG MO KIO,0.44633121243975,01 TO 05,81.0,New Generation,1980,385000.0,,1.37400086510074,103.850139806283
2012-03,ANG MO KIO,0.6775067251346415,11 TO 15,67.0,New Generation,1978,390000.0,,1.37083202800001,103.843546990613
2012-03,ANG MO KIO,0.4244184465395555,01 TO 05,73.0,New Generation,1978,392000.0,,1.36661793708764,103.84786688518
2012-03,ANG MO KIO,0.9424528273582581,01 TO 05,82.0,New Generation,1980,398000.0,,1.36694793518613,103.857487648675
2012-03,ANG MO KIO,0.9209911957919105,01 TO 05,82.0,New Generation,1980,398000.0,,1.37057765782635,103.857854578394
2012-03,ANG MO KIO,0.4625006306243447,06 TO 10,82.0,New Generation,1980,399000.0,,1.38265184651407,103.840858094028
2012-03,ANG MO KIO,0.7236536843468364,01 TO 05,81.0,New Generation,1980,400000.0,,1.37138855070768,103.855953346739
2012-03,ANG MO KIO,0.31639341940874116,01 TO 05,82.0,New Generation,1979,400000.0,,1.37018880409798,103.852429487897
2012-03,ANG MO KIO,1.4067605618956858,01 TO 05,88.0,New Generation,1978,400000.0,,1.37257962452704,103.836220813247
2012-03,ANG MO KIO,1.0286891407986112,01 TO 05,82.0,New Generation,1976,400000.0,,1.36511908595886,103.841742478489
2012-03,ANG MO KIO,0.5106466149149567,06 TO 10,73.0,New Generation,1977,403000.0,,1.36559244608528,103.848386744168
2012-03,ANG MO KIO,0.46512494393602355,06 TO 10,73.0,New Generation,1978,411000.0,,1.36619756975262,103.847899914468
2012-03,ANG MO KIO,1.0913918469425627,01 TO 05,91.0,New Generation,1980,411000.0,,1.38104134784496,103.835131744823
2012-03,ANG MO KIO,0.46512494393602355,11 TO 15,73.0,New Generation,1978,414000.0,,1.36619756975262,103.847899914468
2012-03,ANG MO KIO,0.3801834517455055,06 TO 10,73.0,New Generation,1978,418000.0,,1.36664972640598,103.850133665442
2012-03,ANG MO KIO,0.4878692850555935,06 TO 10,82.0,New Generation,1980,426888.0,,1.3729419359545,103.852866402032
2012-03,ANG MO KIO,1.270030748068702,06 TO 10,92.0,New Generation,1978,427000.0,,1.37096635222625,103.838201940326
2012-03,ANG MO KIO,0.9533517535062247,11 TO 15,82.0,New Generation,1984,428000.0,,1.36581960538764,103.857061606231
2012-03,ANG MO KIO,1.329298158314303,06 TO 10,92.0,New Generation,1978,430000.0,,1.37231328287072,103.837601112788
2012-03,ANG MO KIO,0.5880480529928397,06 TO 10,92.0,New Generation,1979,433000.0,,1.3669708169506,103.853906591778
2012-03,ANG MO KIO,0.8787242830881707,06 TO 10,92.0,New Generation,1981,434000.0,,1.37430114417473,103.856235581791
2012-03,ANG MO KIO,0.8646934020625384,06 TO 10,89.0,New Generation,1979,434800.0,,1.3645417089084,103.855103690549
2012-03,ANG MO KIO,0.7266327571291866,06 TO 10,89.0,New Generation,1979,435000.0,,1.36534669720177,103.85415182597
2012-03,ANG MO KIO,0.7937076282945351,01 TO 05,92.0,New Generation,1979,440000.0,,1.36565326940253,103.855232195496
2012-03,ANG MO KIO,0.584999416629499,01 TO 05,92.0,New Generation,1979,443000.0,,1.37056143999067,103.854823102785
2012-03,ANG MO KIO,0.8737274419187903,11 TO 15,93.0,New Generation,1981,445000.0,,1.37473841331656,103.855876768354
2012-03,ANG MO KIO,0.8814246501020757,01 TO 05,92.0,New Generation,1981,448000.0,,1.37395961943023,103.856471368511
2012-03,ANG MO KIO,0.7676452762618976,01 TO 05,91.0,New Generation,1982,455000.0,,1.36320996798464,103.850690597254
2012-03,ANG MO KIO,1.1239392312331877,11 TO 15,91.0,New Generation,1979,455000.0,,1.36266297827625,103.85651592319
2012-03,ANG MO KIO,0.7098111908710257,01 TO 05,92.0,New Generation,1979,457000.0,,1.37025836061034,103.855969042929
2012-03,ANG MO KIO,0.3801834517455055,06 TO 10,88.0,New Generation,1978,460000.0,,1.36664972640598,103.850133665442
2012-03,ANG MO KIO,0.9181994756386102,06 TO 10,88.0,New Generation,1976,460000.0,,1.36544495225352,103.842715047475
2012-03,ANG MO KIO,1.3507799997494956,06 TO 10,92.0,New Generation,1977,460000.0,,1.36856103572357,103.837525234344
2012-03,ANG MO KIO,0.5754172772130943,06 TO 10,92.0,New Generation,1979,478000.0,,1.36770367834269,103.854214313011
2012-03,ANG MO KIO,0.6775067251346415,11 TO 15,92.0,New Generation,1978,478000.0,,1.37083202800001,103.843546990613
2012-03,ANG MO KIO,0.9533523814684517,11 TO 15,92.0,New Generation,1979,480000.0,,1.36539106633914,103.856803588706
2012-03,ANG MO KIO,0.18448562182862527,01 TO 05,92.0,New Generation,1980,480000.0,,1.38158208102128,103.84327351566
2012-03,ANG MO KIO,0.5384369110727356,01 TO 05,93.0,New Generation,1980,480000.0,,1.37482589458092,103.848956089557
2012-03,ANG MO KIO,0.8333000536178392,01 TO 05,92.0,New Generation,1979,481000.0,,1.36390466431674,103.853913839503
2012-03,ANG MO KIO,0.49098764023897007,11 TO 15,92.0,New Generation,1979,493000.0,,1.3678915069194,103.85345502653
2012-03,ANG MO KIO,0.32580924951478235,06 TO 10,98.0,New Generation,1978,505000.0,,1.36709586875167,103.84966230288
2012-03,ANG MO KIO,0.20797191050226102,06 TO 10,91.0,New Generation,1980,508000.0,,1.38047559647224,103.843567764408
2012-03,ANG MO KIO,1.1252897016823686,06 TO 10,117.0,Standard,1978,515000.0,,1.37026158388486,103.839467898898
2012-03,ANG MO KIO,0.7354404130473893,01 TO 05,95.0,Model A,2001,518000.0,,1.3638775246776,103.85202861388
2012-03,ANG MO KIO,0.46512494393602355,06 TO 10,98.0,New Generation,1978,533000.0,,1.36619756975262,103.847899914468
2012-03,ANG MO KIO,0.4143046588896994,01 TO 05,121.0,Improved,1980,538000.0,,1.37823859353841,103.843719728887
2012-03,ANG MO KIO,0.6389866279501099,06 TO 10,95.0,Model A,2001,538000.0,,1.36432366673955,103.850307632579
2012-03,ANG MO KIO,0.4143046588896994,01 TO 05,121.0,Improved,1980,550000.0,,1.37823859353841,103.843719728887
2012-03,ANG MO KIO,0.4438838819529297,06 TO 10,119.0,Improved,1980,590000.0,,1.37147783065153,103.845868750998
2012-03,ANG MO KIO,0.39039646177906423,11 TO 15,90.0,Model A,2003,596000.0,,1.36997128892861,103.846076487359
2012-03,ANG MO KIO,0.2605003849075015,21 TO 25,91.0,Model A,2003,600000.0,,1.37187135282659,103.851030423419
2012-03,ANG MO KIO,0.4143046588896994,11 TO 15,121.0,Improved,1980,603000.0,,1.37823859353841,103.843719728887
2012-03,ANG MO KIO,1.1363365449398106,06 TO 10,120.0,Improved,1980,605000.0,,1.36633947709831,103.859122319513
2012-03,ANG MO KIO,0.39811105375835415,11 TO 15,91.0,Model A,2003,610000.0,,1.36941049804616,103.846059822142
2012-03,ANG MO KIO,0.5139438405268426,06 TO 10,119.0,Improved,1979,620000.0,,1.36720027552413,103.853247443819
2012-03,ANG MO KIO,0.4438838819529297,06 TO 10,119.0,Improved,1980,623000.0,,1.37147783065153,103.845868750998
2012-03,ANG MO KIO,1.6607360577038581,06 TO 10,138.0,Model A,1996,630000.0,,1.3694605445784,103.834659046016
2012-03,ANG MO KIO,0.22124676071534252,21 TO 25,91.0,Model A,2002,635000.0,,1.37193571932413,103.85014325987
2012-03,ANG MO KIO,0.6562957127503555,01 TO 05,110.0,Improved,2006,655000.0,,1.36476598625413,103.846907899709
2012-03,ANG MO KIO,0.6008809452038456,16 TO 20,119.0,Improved,1979,658000.0,,1.36629197864802,103.85349630883
2012-03,ANG MO KIO,0.7036793106460731,11 TO 15,110.0,Improved,2001,670000.0,,1.36371311763063,103.850044231877
2012-03,ANG MO KIO,0.7036793106460731,11 TO 15,110.0,Improved,2001,686000.0,,1.36371311763063,103.850044231877
2012-03,ANG MO KIO,0.699559319190056,21 TO 25,110.0,Improved,2001,686000.0,,1.36406807879641,103.851612284582
2012-03,ANG MO KIO,0.39039646177906423,16 TO 20,111.0,Improved,2003,767000.0,,1.36997128892861,103.846076487359
